Model Rating Score,API Model Name,Display Name,Fine Category,Is Free Tier,Requires Billing,Tier,RPM (Requests/Min),TPM (Tokens/Min),RPD (Requests/Day),Capabilities,Usage Description
9.8,gemini-3.7-flash,Gemini 3.7 Flash,👁️ 視覺與截圖辨識,YES,NO,Free tier,0 /  5,0 /  250K,0 /  20,"translation, code_completion, reasoning, text_generation, vision_screenshot_ocr",原生多模態模型，支援圖片、PDF 報告與螢幕截圖辨識，具備高精度 OCR 與文字創作能力。
9.7,gemini-3.5-flash,Gemini 3.5 Flash Lite,👁️ 視覺與截圖辨識,YES,NO,Free tier,0 /  15,0 /  250K,0 /  500,"translation, code_completion, reasoning, text_generation, vision_screenshot_ocr",原生多模態模型，支援圖片、PDF 報告與螢幕截圖辨識，具備高精度 OCR 與文字創作能力。
9.7,gemini-3.5-flash,Gemini 3.5 Flash Lite,🌐 實時網路搜尋與地圖引註,YES,NO,Free tier,-,-,0 /  500,"translation, realtime_fact_checking, google_maps, chat_dialog, code_completion, reasoning, google_search, text_generation, vision_screenshot_ocr",完全支援一般日常對話與文字創作，並在此基礎上自動連結 Google 實時 Web 搜尋與 Maps 提供最新出處解答。
9.7,gemini-3.6-flash,Gemini 3.6 Flash,👁️ 視覺與截圖辨識,YES,NO,Free tier,0 /  5,0 /  250K,0 /  20,"translation, code_completion, reasoning, text_generation, vision_screenshot_ocr",原生多模態模型，支援圖片、PDF 報告與螢幕截圖辨識，具備高精度 OCR 與文字創作能力。
9.6,gemini-3.5-live-translate,Gemini 3.5 Live Translate,⚡ 即時對話 (Live API),YES,NO,Free tier,0 / Unlimited,0 /  20K,0 / Unlimited,"low_latency_dialog, websocket_live, realtime_audio_video",專屬 WebSocket 協議低延遲即時對話 API，不相容標準 REST HTTP generateContent 呼叫。
9.6,gemini-3.5-transcribe-live,Gemini 3.5 Transcribe Live,⚡ 即時對話 (Live API),YES,NO,Free tier,0 / Unlimited,0 /  20K,0 / Unlimited,"low_latency_dialog, websocket_live, realtime_audio_video",專屬 WebSocket 協議低延遲即時對話 API，不相容標準 REST HTTP generateContent 呼叫。
9.5,gemini-3.1-flash-lite,Gemini 3.1 Flash Lite,👁️ 視覺與截圖辨識,YES,NO,Free tier,0 /  15,0 /  250K,0 /  500,"translation, code_completion, reasoning, text_generation, vision_screenshot_ocr",原生多模態模型，支援圖片、PDF 報告與螢幕截圖辨識，具備高精度 OCR 與文字創作能力。
9.5,gemini-3.1-flash-lite,Gemini 3.1 Flash Lite,🌐 實時網路搜尋與地圖引註,YES,NO,Free tier,-,-,0 /  500,"translation, realtime_fact_checking, google_maps, chat_dialog, code_completion, reasoning, google_search, text_generation, vision_screenshot_ocr",完全支援一般日常對話與文字創作，並在此基礎上自動連結 Google 實時 Web 搜尋與 Maps 提供最新出處解答。
9.4,gemini-3.0-flash,Gemini 3 Flash,👁️ 視覺與截圖辨識,YES,NO,Free tier,0 /  5,0 /  250K,0 /  20,"translation, code_completion, reasoning, text_generation, vision_screenshot_ocr",原生多模態模型，支援圖片、PDF 報告與螢幕截圖辨識，具備高精度 OCR 與文字創作能力。
9.4,gemini-3.0-flash-live,Gemini 3 Flash Live,⚡ 即時對話 (Live API),YES,NO,Free tier,0 / Unlimited,0 /  65K,0 / Unlimited,"translation, low_latency_dialog, realtime_audio_video, code_completion, reasoning, websocket_live, text_generation, vision_screenshot_ocr",專屬 WebSocket 協議低延遲即時對話 API，不相容標準 REST HTTP generateContent 呼叫。
